Month,Week Range,Ticker,Volatility_PCT,Daily_Return,MA_7
April 2025,2025-04-01 to 2025-04-07,BIL,0.0010945099216129813,-0.05228742862257274,91.5957142857143
April 2025,2025-04-01 to 2025-04-07,BND,-0.3003438627850975,-0.1403504402507827,73.314
April 2025,2025-04-01 to 2025-04-07,EEM,-0.08925088942501136,-2.1888576884216215,43.626
April 2025,2025-04-01 to 2025-04-07,EFA,-0.4491817288337906,-2.1457753882137753,81.60857142857142
April 2025,2025-04-01 to 2025-04-07,FNILX,0.0,-1.9927092420809545,19.88057142857143
April 2025,2025-04-01 to 2025-04-07,IWF,0.7677220140122701,-1.971851298814944,361.33085714285716
April 2025,2025-04-01 to 2025-04-07,IYR,-1.2301060124045948,-1.9548471467146733,94.60171428571428
April 2025,2025-04-01 to 2025-04-07,QQQ,0.4376196286934996,-1.95739305204363,469.58885714285714
April 2025,2025-04-01 to 2025-04-07,SCHE,0.05103762849095217,-2.1693704250249746,27.538857142857143
April 2025,2025-04-01 to 2025-04-07,SDY,-0.8094704963552941,-1.8203275680990274,134.05457142857145
April 2025,2025-04-01 to 2025-04-07,SWPPX,0.0,-1.9938477355449582,85.9797142857143
April 2025,2025-04-01 to 2025-04-07,VHT,-0.5508586954354504,-1.6280874820846214,261.23542857142854
April 2025,2025-04-01 to 2025-04-07,VNQ,-0.9744325509716875,-1.9451911058419527,89.53428571428572
April 2025,2025-04-01 to 2025-04-07,VOO,0.1738823845919814,-2.0031251836210573,511.54799999999994
April 2025,2025-04-01 to 2025-04-07,VTWO,0.7611777102589348,-2.0404295385596716,80.59771428571429
April 2025,2025-04-01 to 2025-04-07,VUG,0.7620741743262732,-1.9921050754593934,371.41457142857143
April 2025,2025-04-01 to 2025-04-07,VXUS,-0.19175409884202826,-2.056535398193111,62.057142857142864
April 2025,2025-04-01 to 2025-04-07,XME,0.5707132111047513,-2.3448228837886664,55.90371428571429
April 2025,2025-04-08 to 2025-04-14,BIL,0.010928006941655929,0.015298874753173486,91.49685714285714
April 2025,2025-04-08 to 2025-04-14,BND,0.28091841116980143,-0.13622673597507795,73.00857142857143
April 2025,2025-04-08 to 2025-04-14,EEM,0.607269072527458,1.569509305715664,41.075428571428574
April 2025,2025-04-08 to 2025-04-14,EFA,1.2006663141073861,1.7968725460773438,77.20057142857142
April 2025,2025-04-08 to 2025-04-14,FNILX,0.0,1.4255733235913872,18.797714285714285
April 2025,2025-04-08 to 2025-04-14,IWF,1.0851689980006949,1.6920475023005,341.4371428571429
April 2025,2025-04-08 to 2025-04-14,IYR,0.7685155499401587,0.9074879069228793,89.6442857142857
April 2025,2025-04-08 to 2025-04-14,QQQ,1.2308215691373134,1.6938270670222557,443.60942857142857
April 2025,2025-04-08 to 2025-04-14,SCHE,0.5943722577340897,1.5456689295172565,25.96428571428571
